text,username,location,len
"https://t.co/N98sqEULg2 
Finally watched #ChernobylHBO one word: #brilliant.  Reminds me of how #Trump &amp; other governments’ handling of the #coronavirus is similar to Chernobyl’s. Discrediting scientists, spinning lies &amp; misinformation for the sole purpose of staying in power.",Fertabs1,"Washington, DC",285
Private firms working for the public good in coronavirus outbreak https://t.co/YyQPKQZqb7,InvCourier,"Inverness, Scotland",89
RT @ProfBambra: The Sage advice must be published now to find where Britain got coronavirus wrong https://t.co/Z2aKbEgmCt,2ndReferendum,Yorkshire and The Humber,121
"The organisers of Great Yarmouth’s largest #summer #festivals are announcing the unavoidable cancellation of their #events this year, to help protect public health and safety in response to the continued #coronavirus threat. #StayAlert #ControlTheVirus #SaveLives https://t.co/nIMwaulM6Q",greatyarmouthbc,"Great Yarmouth, England",287
RT @Peston: Why didn't Boris act sooner against coronavirus? | The Spectator https://t.co/nNpSR8JxTj,Soupmaman,"England, United Kingdom",100
"Hmmm...
California churchgoer tests positive for coronavirus one day after service; 180 exposed https://t.co/pKgxIFJOtp via @nbcnews",DavidGMcGreevy,"East Village, NYC.",132
RT @brawday: PM lining up civil servants to take blame for coronavirus response https://t.co/G1c2EjIqyn,BartBlack1,"Scotland, United Kingdom",103
"RT @dsue1441_re: Robert De Niro calls trump a ""lunatic"" who ""doesn't care"" how many people die from coronavirus https://t.co/LBDu2ujeYF",dudlypaul,England,135
RT @washingtonpost: Opinion: Trump is using the coronavirus as a cover to abuse his authority https://t.co/BM331nIelg,KarlieInCali,California,117
RT @piersmorgan: Shameless &amp; shameful. The only thing this Govt threw around care homes was the coronavirus. https://t.co/eDSZyjNGbb,Alacoque6,"England, United Kingdom",136
The latest HUB News Daily! https://t.co/GVEQCoHTIp #coronavirus #sme,hubworkspace,North East,68
"RT @i_theindian: Zee News: Noida's most deadly coronavirus hotspot.

#ZeeNewsSealKaro https://t.co/EQguBVKH0X",ShaikWali14,"Bengaluru, India",109
"RT @Pumpkinz16: No government could have been completely ready for the pandemic, but taking the public for fools has destroyed all trust…",Quintsharktours,Wigan,137
"Amazing research going on 🌿 Come on UK!!
#broadiessupplements #CBD #coronavirus
https://t.co/5QAAXhkkBy",BroadiesS,"South West, England",103
Why is this not main @BBCNews All they keep banging on about is Denmark which was completely on top of the coronavirus. France have closed 50 schools that reopened after 1 week already https://t.co/LjHojrphIP,Sammyb01,"England, United Kingdom",208
RT @Q13FOX: Judge rules that Oregon virus restrictions are invalid https://t.co/7EEG1o2Qg5 https://t.co/jqolflHd7n,daveskow,Movement Mortgage - Seattle ,114
Covid-19 Impact: Canada's Privacy Commissioners Outline Guidance For Governments And Developers Of... https://t.co/OVXG8RTipG,LawNewsCanada,Canada,125
RT @fthealth: How coronavirus is exacerbating gaps in school provision https://t.co/2LswylNPJ9,ChrisGroomb,United Kingdom,94
"For tips and ideas on how to look after your mental health click on the resource pack below: 

https://t.co/4yuoCgYwnC",ActiveSchoolsED,Edinburgh,118
"@moreelen Time to sacrifice the shower curtain:
https://t.co/HRiyVXlOzc",sdp,London,71
#LegendsCasino pushes back #reopening to #June7 https://t.co/s1Gz5dEC79 via @Yakima_Herald,HOCRadio,"Princeton, NJ USA",90
Australia has reached a grim milestone; our 100th death from coronavirus. 93-year-old Alice Bacon passed away this morning at Sydney's Newmarch House. She is the 19th resident to die and her grieving family says it should not have happened. https://t.co/6iNboeyc4R #7NEWS https://t.co/HsdAQsoJbA,7NewsSydney,Sydney,295
"@Ilhan Imagine the difference if Trump Republicans spent as much time on coronavirus as they do Obama, Clinton, and China “conspiracies”. And to top it off, they call the coronavirus a hoax and the “conspiracies” all real. Trump Republicans can fool some once, but now it’s your life! https://t.co/1JcJjJvArc",KevinScott4all,United States,308
"#LastWeekinAI -  #AI chatbots gaining traction amid the pandemic, #AIEurovision contest has a winner and more  🔽
1. @techreview: https://t.co/fdqrL2OWR5
2. @verge: https://t.co/itorCIWGAP
3. @BBCWorld: https://t.co/L7wvlIgiSo https://t.co/NCe1PNO9Ow",BohemianAI,"Prague, Czech Republic",249
RT @shammybaweja: ‘Robbing the living and the dead of basic dignity’  https://t.co/WW0zXOGCcu,adilnomani,INDIA,93
"Something for everyone. 
“Politics in America: My Offensive views on Abortion, LGBTQ, Sharia Law, 5G, The Death Penalty and…” by Mark Scofield https://t.co/iqljhyRF0j
#COVID19 #coronavirus #thebadinfluence",SalsaReuben,New Zealand,205
BBC News - Coronavirus: Delirium 'may be common' in Covid seriously ill https://t.co/p5G3tEX6RA,Le_kafe,The Milky Way,95
"Blanquer did not specify if the 70 cases of COVID-19 were among students or teachers.
https://t.co/0jPSR4yR9j",bhimnnkd,World-human universal family,109
"China’s Unrestricted Warfare Could Lead to Collapse in One Year https://t.co/9BKOrZiF8Y via @YouTube
#CCPvirus #WakeUpAmerica #ResistTyranny #StandUpToEvil #COVID19 #Coronavirus #NoWorldOrder #SpyState #ContactTracing",PplOppsngTyrnny,"Providence, RI",217
Phone calls offered to older adults staying home during coronavirus pandemic https://t.co/Kc6xLZaW2h,wcnc,"Charlotte, NC",100
"@ai6yrham forced to have implanted microchips by Bill Gates."" Change the subject from coronavirus to whatever other subject and you will find people in psych wards across the USA hospitalized for saying very similar things. We call this paranoia and delusions. It is a significant mental",kingsfan42700,United States,287
"As the first tragic images of the UK’s coronavirus victims began to emerge, it quickly became evident the lives being lost were disproportionately those from black, Asian, and minority ethnic (BAME) communities.
 https://t.co/SHGWxKjAWo",BPF_UK,United Kingdom,236
".@matthewsyed on effects of groupthink on UK gov Covid-19 planning:

""It is easy for groups to become fixated on one aspect of a fast-changing situation, thereby missing others... A defective judgment is made because...""

1/2
 https://t.co/lpMmUhKGtj",DanHarley3,"Glasgow, Scotland",250
RT @JoyceWhiteVance: Follow the money https://t.co/inYdnUGOt2,oprman,Germany,61
"ON AIR: ZAMAJOBE / Adding value to lives daily .Talk to us on 0208 90 2121 HELLO@FANTASTICRADIO.CO.UK #FANTASTICRADIOUK #HOMEOFPOSSIBILITIES #BELIEVEYOURPOSSIBILITIES #STAYHOMESAFELIVES https://t.co/bE4hgti6fx 
 Buy song https://t.co/xR9WS7JEu9 https://t.co/TH58a8uAeE",FANTASTICRADIOO,Harrow Wealdstone NW LONDON,268
Coronavirus: Isle of Wight contact-tracing app trial - a mixed verdict so far. That’s what you get when you think you’re superior to leading software companies. #ContactTracingApp #Covid_19  https://t.co/31oluE9h74,TimWilliam5,"Chester, England",214
"@TNMilitaryDept Imagine the difference if Trump Republicans spent as much time on coronavirus as they do Obama, Clinton, and China “conspiracies”. And to top it off, they call the coronavirus a hoax and the “conspiracies” all real. Trump Republicans can fool some once, but now it’s your life! https://t.co/PuU0Kw36q5",KevinScott4all,United States,317
#CayugaNation #reopens its #casino while others in #NewYork remain closed https://t.co/LvK9BBsFpg,HOCRadio,"Princeton, NJ USA",97
The UK studies nicotine and the Ooni claims a coronavirus cure on this week’s selection of #covidworldvscovidng https://t.co/GpCHvqdhz9,PublicEyeNg,"Lagos, Nigeria",135
Seeing a report on my local bar in #morbegno reopening made me emotional. Oh to be there with a frozen Bitter Campari or six right now. #coronavirus #valtellina #imback,RiccardoTonell1,United Kingdom,168
⁦@jonburkeUK⁩ “It is very important that we democratise these spaces so we need to see these mini-Holland type initiatives in the most deprived areas and more prosperous neighbourhoods … good stuff for everyone must be our mantra.” 👏🏼👏🏼 https://t.co/wH3AubzNlj,plasticfreehkny,"Hackney, London",260
"RT @jacquep: US lockdown protests may have spread virus widely, cellphone data suggests https://t.co/ozL4t43x5H",charlottethomp5,London,111
RT @AP: Oregon Supreme Court halts judge’s order rescinding state's coronavirus stay-at-home restrictions. https://t.co/H1CjCPX6Ei,janesherd," Another Dimension, USA",130
RT @Pun_Starr: I think BJP leaders should most beware of Zee News journalists. Coronavirus can be transferred through boot licking.,AjaySingh1802,"Bengaluru, Karnataka",131
Second https://t.co/R7Yzduz9J5. Corrections Officer Tests Positive For Coronavirus https://t.co/0JEK8Vksvc,Angelring101,"wilkes barre, pa",106
The Trump Administration Is Rushing Deportations of #Migrants Children During #Coronavirus #COVID19  https://t.co/CABU0Ahlmz,kmcgahan,Singapore - usually,124
"‘The Morrison Govt’s refusal 2 extend JobKeeper 2 unis is having real consequences - regional campuses closing, hundreds of jobs lost. They could fix it with the stroke of a pen’

Staff accept voluntary redundancies as CQU struggles with $116m loss https://t.co/UbgnCuiVky",ShiannonC,"Brisbane, Queensland.",272
I don't think that 'let them pick spuds' is a particualatly good luck. The nasty party goes back to type here as minister says there are plenty of jobs. https://t.co/X8FOnEpKg1,robjg,Norwich,176
"""The police, not the coronavirus, killed my son""-father of Mohammad Rizwan, whom policemen allegedly beat up while he was trying to buy food, who died on Saturday.

Link for the full article in the Telegraph India...

https://t.co/QXpHaF0nup

#HumanRights",J_Thanuj,India,255
"India coronavirus cases surge past 100,000, deaths top 3,000 https://t.co/XfhuqZpbNv",afridijalil,"Washington, DC",84
“The world’s third-largest economy shrank an annualized 3.4% in the three months through March from the previous quarter as exports slid and social distancing crimped consumer spending..” https://t.co/ekjZkTfx3B,JosephCataan,Manila,211
#BREAKING: There are now 100 deaths in Australia due to coronavirus.,SydneyAlert,Sydney,68
Include the true value of nature when rebuilding economies after coronavirus https://t.co/KTmmjtHZcg,lemes_f,UK,100
"Keeping in touch with employees working from home during Coronavirus pandemic is so important for mental health. Provide opportunities for keeping in touch - maintain contact and a team spirit.
#HR #MentalHealthAwarenessWeek https://t.co/SOdqTuSKoA",CharltonHR,Cheltenham,248
"SOMEBODY WAS LISTENING ABOUT #CORONAVIRUS:

14
#TuesdayThoughts https://t.co/zrFPxnN0QQ",TomthunkitsMind,"Atlanta, GA",87
@sheencr Found this useful summary of research conducted and peer reviews on them too https://t.co/O71mYFFa5z,ClaireTTweets,Manchester & North Wales,109
RT @washingtonpost: Opinion: Trump is using the coronavirus as a cover to abuse his authority https://t.co/BM331nIelg,MyGrannyTheGeek,Global Resistance,117
RT @NTynesideNASUWT: Gavin Williamson under fire over free school meal cuts during coronavirus outbreak https://t.co/7vJSNHqsO7,COWIEKIM,North East,127
RT @washingtonpost: Opinion: Trump is using the coronavirus as a cover to abuse his authority https://t.co/BM331nIelg,nspeaks,Hell,117
"RT @LeVostreGC: Sorrye to share bad newes, but thys ys bad newes. Ther must be some waye to helpe.
https://t.co/BN843mdMLo",conifer_benema,"Eustace, Tx",122
"Do not #self-diagnose . It gives you a false sense of #Security 
#coronavirus https://t.co/eroFAlJddY",LyndaLindadavis,United States,101
"Wolves extend 33-year-old English goalkeeper John Ruddy's contract by a further year. (Birmingham Mail)

Watford's English striker Troy Deeney fear Premier League players will face a public backlash over mass testing for coronavirus. (Good Morning Britain via Evening Standard)",Omo_West12,Lagos 08181338115. 07069542188,277
"Coronavirus is actually a gift to mankind, because it has gifted us God. It made us realize God. It has made us realize that there is a power beyond us. A power beyond human comprehension, that governs our destiny. This power is the devine power we call God. 
1/2",NadeemS52421195,Jammu And Kashmir,263
"RT @spectatorindex: JUST IN: Worldwide coronavirus death toll reaches 320,000",GuzzlersInc,Bangalore - Chennai - Trichur ,77
"RT @Bijan63: Brilliant cartoon:
#Trump gets tested. 
There's nothing there.  
#Coronavirus https://t.co/c6iUjz6EL0",masterprogram1,the four corners of the Earth.,114
@JamesMelville @FreeSpe84593309 Fight Coronavirus before Brexitvirus.,Ybretsae,Only my thoughts .  Germany,69
"RT @smallcappick: #N4P #C4XD #IQAI 
Coronavirus: Moderna’s US vaccine first trials show immune response https://t.co/2vy25EMqEY",Chaser521,"Wolverhampton, England",127
"https://t.co/sF7lZQaFjJ
U know love WE ARE PROUD! 
U KNOW OF WHAT?OF YOU. 
We loved a GOLDEN-HEARTED Man❤
We kept faith in you that my Dev will change the so called definition of politics! You haters r praising the MP DEV! What do we want more? @idevadhikari ❤Go ahead love❤🙏 https://t.co/U60NCb3Lh9",Ishita28feb,"Kolkata, India",299
"What country would accept British holidaymakers when we are rife with Covid19 and no proper testing. 

https://t.co/285JQNwkwJ",nikpet1,"West Midlands, England",126
RT @washingtonpost: Opinion: Trump is using the coronavirus as a cover to abuse his authority https://t.co/BM331nIelg,11111hiromorinn,東京  Tokyo Japan,117
"SDO Wants COVID 19 Patients Out Of Private Hospitals 

Private health establishments in Douala have been given 72 hours to transfer all coronavirus patients in their keeping to health establishments earmarked by government to host COVID-19 patients accross the city.",Mimimefo237,London United Kingdom,266
RT @medical_xpress: Coronavirus infections may lead to delirium and potentially PTSD @uclnews @TheLancet https://t.co/oXcLalsaIJ,qualityisarul3,@On tHe wAy,128
"Zee Media newsroom, studios sealed after 28 employees test positive for coronavirus - https://t.co/b6Knph0T1q",FreePressK,Kashmir,109
"@LizzieStokes1 Hi Lizzie, the latest available information is available here: https://t.co/2MF5bOjtFk. However, we do have a dedicated helpline that will be able to clear this up as the guidance may not that specific. Thanks, Anas",HMRCcustomers,UK,230
RT @Jordan9ja: #Jib : Oh No! 3-Day-Old Baby Dies After His Mother Contracted #coronavirus Before His Birth: https://t.co/l8k6RX9dD2,Jordan9ja,Earth. ,131
"UK wrong to rule out global coronavirus comparisons, experts say https://t.co/RpS5cjYAa4",germanacanzi,London,88
